Manticore 3.4.2 69033058@200410 release
Copyright (c) 2001-2016, Andrew Aksyonoff
Copyright (c) 2008-2016, Sphinx Technologies Inc (http://sphinxsearch.com)
Copyright (c) 2017-2020, Manticore Software LTD (http://manticoresearch.com)

using config file '/etc/manticoresearch/manticore.conf'...
indexing index 'financial_news'...
collected 1000 docs, 2.5 MB
collected 2000 docs, 5.2 MB
collected 3000 docs, 7.5 MB
collected 4000 docs, 9.8 MB
collected 5000 docs, 12.1 MB
collected 6000 docs, 14.5 MB
collected 7000 docs, 16.9 MB
collected 8000 docs, 19.2 MB
collected 9000 docs, 21.6 MB
collected 10000 docs, 24.1 MB
collected 11000 docs, 26.5 MB
collected 12000 docs, 28.6 MB
collected 13000 docs, 30.8 MB
collected 14000 docs, 33.0 MB
collected 15000 docs, 35.2 MB
collected 16000 docs, 37.3 MB
collected 17000 docs, 39.4 MB
collected 18000 docs, 41.4 MB
collected 19000 docs, 43.4 MB
collected 20000 docs, 45.4 MB
collected 21000 docs, 47.4 MB
collected 22000 docs, 49.4 MB
collected 23000 docs, 51.5 MB
collected 24000 docs, 53.6 MB
collected 25000 docs, 55.6 MB
collected 26000 docs, 57.6 MB
collected 27000 docs, 59.7 MB
collected 28000 docs, 61.9 MB
collected 29000 docs, 63.9 MB
collected 30000 docs, 65.8 MB
collected 31000 docs, 67.8 MB
collected 32000 docs, 69.9 MB
collected 33000 docs, 71.9 MB
collected 34000 docs, 74.0 MB
collected 35000 docs, 76.2 MB
collected 36000 docs, 78.5 MB
collected 37000 docs, 81.1 MB
collected 38000 docs, 83.7 MB
collected 39000 docs, 86.4 MB
collected 40000 docs, 89.1 MB
collected 41000 docs, 91.9 MB
collected 42000 docs, 94.9 MB
collected 43000 docs, 98.2 MB
collected 44000 docs, 101.7 MB
collected 45000 docs, 104.6 MB
collected 46000 docs, 107.6 MB
collected 47000 docs, 110.5 MB
collected 47461 docs, 111.7 MB
collected 48000 docs, 113.3 MB
collected 49000 docs, 116.2 MB
collected 50000 docs, 119.1 MB
collected 51000 docs, 121.8 MB
collected 52000 docs, 125.0 MB
collected 53000 docs, 128.1 MB
collected 54000 docs, 131.0 MB
collected 55000 docs, 134.1 MB
collected 56000 docs, 136.8 MB
collected 57000 docs, 139.8 MB
collected 58000 docs, 142.5 MB
collected 59000 docs, 145.3 MB
collected 60000 docs, 148.0 MB
collected 61000 docs, 151.1 MB
collected 62000 docs, 154.0 MB
collected 63000 docs, 156.7 MB
collected 64000 docs, 159.8 MB
collected 65000 docs, 162.3 MB
collected 66000 docs, 164.8 MB
collected 67000 docs, 167.4 MB
collected 68000 docs, 169.9 MB
collected 69000 docs, 172.8 MB
collected 70000 docs, 175.7 MB
collected 71000 docs, 178.5 MB
collected 72000 docs, 181.3 MB
collected 73000 docs, 183.7 MB
collected 74000 docs, 186.9 MB
collected 75000 docs, 190.8 MB
collected 76000 docs, 194.4 MB
collected 77000 docs, 197.0 MB
collected 78000 docs, 199.7 MB
collected 79000 docs, 202.1 MB
collected 80000 docs, 205.2 MB
collected 81000 docs, 208.1 MB
collected 82000 docs, 211.0 MB
collected 83000 docs, 213.3 MB
collected 84000 docs, 215.7 MB
collected 85000 docs, 217.9 MB
collected 86000 docs, 220.1 MB
collected 87000 docs, 222.7 MB
collected 87052 docs, 223.0 MB
collected 88000 docs, 225.3 MB
collected 89000 docs, 227.8 MB
collected 90000 docs, 230.7 MB
collected 90000 docs, 230.7 MB
creating lookup: 10.0 Kdocs, 11.1% done
creating lookup: 20.0 Kdocs, 22.2% done
creating lookup: 30.0 Kdocs, 33.3% done
creating lookup: 40.0 Kdocs, 44.4% done
creating lookup: 50.0 Kdocs, 55.6% done
creating lookup: 60.0 Kdocs, 66.7% done
creating lookup: 70.0 Kdocs, 77.8% done
creating lookup: 80.0 Kdocs, 88.9% done
creating lookup: 90.0 Kdocs, 100.0% done
creating lookup: 90.0 Kdocs, 100.0% done
creating histograms: 0.0 Kdocs, 0.0% done
creating histograms: 10.0 Kdocs, 11.1% done
creating histograms: 20.0 Kdocs, 22.2% done
creating histograms: 30.0 Kdocs, 33.3% done
creating histograms: 40.0 Kdocs, 44.4% done
creating histograms: 50.0 Kdocs, 55.6% done
creating histograms: 60.0 Kdocs, 66.7% done
creating histograms: 70.0 Kdocs, 77.8% done
creating histograms: 80.0 Kdocs, 88.9% done
creating histograms: 90.0 Kdocs, 100.0% done
sorted 1.0 Mhits, 2.7% done
sorted 2.0 Mhits, 5.3% done
sorted 3.0 Mhits, 8.0% done
sorted 4.0 Mhits, 10.6% done
sorted 5.0 Mhits, 13.3% done
sorted 6.0 Mhits, 15.9% done
sorted 7.0 Mhits, 18.6% done
sorted 8.0 Mhits, 21.3% done
sorted 9.0 Mhits, 23.9% done
sorted 10.0 Mhits, 26.6% done
sorted 11.0 Mhits, 29.2% done
sorted 12.0 Mhits, 31.9% done
sorted 13.0 Mhits, 34.6% done
sorted 14.0 Mhits, 37.2% done
sorted 15.0 Mhits, 39.9% done
sorted 16.0 Mhits, 42.5% done
sorted 17.0 Mhits, 45.2% done
sorted 18.0 Mhits, 47.9% done
sorted 19.0 Mhits, 50.5% done
sorted 20.0 Mhits, 53.2% done
sorted 21.0 Mhits, 55.8% done
sorted 22.0 Mhits, 58.5% done
sorted 23.0 Mhits, 61.1% done
sorted 24.0 Mhits, 63.8% done
sorted 25.0 Mhits, 66.5% done
sorted 26.0 Mhits, 69.1% done
sorted 27.0 Mhits, 71.8% done
sorted 28.0 Mhits, 74.4% done
sorted 29.0 Mhits, 77.1% done
