Manticore 3.4.2 69033058@200410 release
Copyright (c) 2001-2016, Andrew Aksyonoff
Copyright (c) 2008-2016, Sphinx Technologies Inc (http://sphinxsearch.com)
Copyright (c) 2017-2020, Manticore Software LTD (http://manticoresearch.com)

using config file '/etc/manticoresearch/manticore.conf'...
indexing index 'financial_news'...
collected 1000 docs, 2.5 MB
collected 2000 docs, 5.2 MB
collected 3000 docs, 7.5 MB
collected 4000 docs, 9.8 MB
collected 5000 docs, 12.1 MB
collected 6000 docs, 14.5 MB
collected 7000 docs, 16.9 MB
collected 8000 docs, 19.2 MB
collected 9000 docs, 21.6 MB
collected 10000 docs, 24.1 MB
collected 11000 docs, 26.5 MB
collected 12000 docs, 28.6 MB
collected 13000 docs, 30.8 MB
collected 14000 docs, 33.0 MB
collected 15000 docs, 35.2 MB
collected 16000 docs, 37.3 MB
collected 17000 docs, 39.4 MB
collected 18000 docs, 41.4 MB
collected 19000 docs, 43.4 MB
collected 20000 docs, 45.4 MB
collected 21000 docs, 47.4 MB
collected 22000 docs, 49.4 MB
collected 23000 docs, 51.5 MB
collected 24000 docs, 53.6 MB
collected 25000 docs, 55.6 MB
collected 26000 docs, 57.6 MB
collected 27000 docs, 59.7 MB
collected 28000 docs, 61.9 MB
collected 29000 docs, 63.9 MB
collected 30000 docs, 65.8 MB
collected 31000 docs, 67.8 MB
collected 32000 docs, 69.9 MB
collected 33000 docs, 71.9 MB
collected 34000 docs, 74.0 MB
collected 35000 docs, 76.2 MB
collected 36000 docs, 78.5 MB
collected 37000 docs, 81.1 MB
collected 38000 docs, 83.7 MB
collected 39000 docs, 86.4 MB
collected 40000 docs, 89.1 MB
collected 41000 docs, 91.9 MB
collected 42000 docs, 94.9 MB
collected 43000 docs, 98.2 MB
collected 44000 docs, 101.7 MB
collected 45000 docs, 104.6 MB
collected 46000 docs, 107.6 MB
collected 47000 docs, 110.5 MB
collected 47461 docs, 111.7 MB
collected 48000 docs, 113.3 MB
collected 49000 docs, 116.2 MB
collected 50000 docs, 119.1 MB
collected 51000 docs, 121.8 MB
collected 52000 docs, 125.0 MB
collected 53000 docs, 128.1 MB
collected 54000 docs, 131.0 MB
collected 55000 docs, 134.1 MB
collected 56000 docs, 136.8 MB
collected 57000 docs, 139.8 MB
collected 58000 docs, 142.5 MB
collected 59000 docs, 145.3 MB
collected 60000 docs, 148.0 MB
collected 61000 docs, 151.1 MB
collected 62000 docs, 154.0 MB
collected 63000 docs, 156.7 MB
collected 64000 docs, 159.8 MB
collected 65000 docs, 162.3 MB
collected 66000 docs, 164.8 MB
collected 67000 docs, 167.4 MB
collected 68000 docs, 169.9 MB
collected 69000 docs, 172.8 MB
collected 70000 docs, 175.7 MB
collected 71000 docs, 178.5 MB
collected 72000 docs, 181.3 MB
collected 73000 docs, 183.7 MB
collected 74000 docs, 186.9 MB
collected 75000 docs, 190.8 MB
collected 76000 docs, 194.4 MB
collected 77000 docs, 197.0 MB
collected 78000 docs, 199.7 MB
collected 79000 docs, 202.1 MB
collected 80000 docs, 205.2 MB
collected 81000 docs, 208.1 MB
collected 82000 docs, 211.0 MB
collected 83000 docs, 213.3 MB
collected 84000 docs, 215.7 MB
collected 85000 docs, 217.9 MB
collected 86000 docs, 220.1 MB
collected 87000 docs, 222.7 MB
collected 87052 docs, 223.0 MB
collected 88000 docs, 225.3 MB
collected 89000 docs, 227.8 MB
collected 90000 docs, 230.7 MB
collected 91000 docs, 233.9 MB
collected 92000 docs, 236.6 MB
collected 93000 docs, 239.3 MB
collected 94000 docs, 242.2 MB
collected 95000 docs, 245.0 MB
collected 96000 docs, 247.6 MB
collected 97000 docs, 250.2 MB
collected 98000 docs, 252.8 MB
collected 99000 docs, 255.2 MB
collected 100000 docs, 257.8 MB
collected 101000 docs, 260.6 MB
collected 102000 docs, 263.6 MB
collected 103000 docs, 267.0 MB
collected 104000 docs, 270.2 MB
collected 105000 docs, 273.4 MB
collected 106000 docs, 276.4 MB
collected 107000 docs, 279.6 MB
collected 108000 docs, 282.9 MB
collected 109000 docs, 286.4 MB
collected 110000 docs, 289.4 MB
collected 111000 docs, 291.8 MB
collected 112000 docs, 294.4 MB
collected 113000 docs, 297.2 MB
collected 114000 docs, 300.0 MB
collected 115000 docs, 302.7 MB
collected 116000 docs, 305.9 MB
collected 117000 docs, 309.2 MB
collected 118000 docs, 312.1 MB
WARNING: document 118398, attribute json: syntax error, unexpected TOK_IDENT, expecting ']' or ',' near 'https://djcs-olympics.s3.amazonaws.com/custom-data-charts/custom-data-chart-wsj-0.8.30.min.js"], "published": "2018-02-28T19:43:00.000+02:00", "crawled": "2018-02-28T23:26:35.005+02:00", "highlightTitle": ""}'
collected 119000 docs, 315.3 MB
collected 120000 docs, 318.5 MB
collected 121000 docs, 321.7 MB
collected 122000 docs, 325.1 MB
collected 123000 docs, 327.9 MB
collected 124000 docs, 330.9 MB
collected 125000 docs, 333.6 MB
collected 125327 docs, 334.6 MB
collected 126000 docs, 336.4 MB
collected 127000 docs, 339.0 MB
collected 128000 docs, 341.4 MB
collected 129000 docs, 344.3 MB
collected 130000 docs, 347.1 MB
collected 131000 docs, 350.0 MB
collected 132000 docs, 353.0 MB
collected 133000 docs, 355.5 MB
collected 134000 docs, 358.1 MB
collected 135000 docs, 360.7 MB
collected 136000 docs, 363.3 MB
collected 137000 docs, 366.0 MB
collected 138000 docs, 368.8 MB
collected 139000 docs, 371.6 MB
collected 140000 docs, 375.0 MB
collected 141000 docs, 377.7 MB
collected 142000 docs, 380.7 MB
collected 143000 docs, 383.6 MB
